,acc_rating,amen_1,amen_10,amen_11,amen_12,amen_13,amen_14,amen_15,amen_16,amen_17,amen_18,amen_19,amen_2,amen_20,amen_21,amen_22,amen_23,amen_24,amen_25,amen_26,amen_27,amen_28,amen_29,amen_3,amen_30,amen_31,amen_32,amen_33,amen_34,amen_35,amen_36,amen_37,amen_38,amen_39,amen_4,amen_40,amen_41,amen_42,amen_43,amen_44,amen_45,amen_46,amen_47,amen_48,amen_49,amen_5,amen_50,amen_6,amen_7,amen_8,amen_9,bed_air,bed_couch,bed_futon,bed_real,bed_sofa,cancel_policy,checkin_rating,cleanliness_rating,communication_rating,dist_ferry,entire_home,guest_sat,host_other_rev_count,hosting_id,instant_book,is_apt,is_house,is_other,is_superhost,is_tent,is_townhouse,is_villa,lat,loc_rating,lon,num_bathrooms,num_bedrooms,num_beds,person_cap,pic_count,price,private_room,prop_type,review_count,review_score,saved_to_wishlist_count,shared_room,value_rating
5650515,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,5,10,10,9,0.09252745287070531,False,90,583,5650515,False,False,True,False,False,False,False,False,37.73401519842686,10,-122.46247383410616,3,1,1,1,14,33.0,True,House,44,90,747,False,10
5650515,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,5,10,10,9,0.09252745287070531,False,90,583,5650515,False,False,True,False,False,False,False,False,37.73401519842686,10,-122.46247383410616,3,1,1,1,14,33.0,True,House,44,90,747,False,10
5650515,10,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,5,10,10,9,0.09252745287070531,False,90,583,5650515,False,False,True,False,False,False,False,False,37.73401519842686,10,-122.46247383410616,3,1,1,1,14,33.0,True,House,44,90,747,False,10
16536186,10,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,3,10,10,9,0.09771628726085643,False,90,16,16536186,False,True,False,False,True,False,False,False,37.76206813231516,10,-122.48521341719074,1,2,1,2,7,38.0,True,Apartment,2,90,40,False,10
4654218,10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,4,10,10,10,0.07995500979915278,False,98,46,4654218,False,False,True,False,True,False,False,False,37.72558049160307,9,-122.43199870188485,1.5,1,1,2,22,39.0,True,House,45,98,383,False,10
15026204,10,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,5,10,9,10,0.1129236695347103,False,96,20,15026204,False,True,False,False,False,False,False,False,37.71533065954763,10,-122.47284237024249,1,1,1,1,11,32.0,True,Apartment,6,96,51,False,10
11575586,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,4,10,10,10,0.07929894358681815,False,94,0,11575586,False,False,True,False,False,False,False,False,37.725739158691844,9,-122.43091660902195,1,1,1,1,5,40.0,True,House,37,94,237,False,10
11620,9,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,4,9,8,10,0.07892307045740826,False,92,191,11620,False,False,True,False,False,False,False,False,37.71788758389322,9,-122.40707923948219,1,1,1,1,19,35.0,True,House,44,92,89,False,9
16291030,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,3,,,,0.08082204784240965,False,,1,16291030,True,True,False,False,False,False,False,False,37.76117012579846,,-122.46654989437761,1,1,1,1,5,40.0,True,Apartment,0,,12,False,
5976428,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5,9,8,9,0.0607252073302703,False,77,93,5976428,False,False,True,False,False,False,False,False,37.735108745850845,7,-122.38838174283076,1,1,1,2,5,39.0,True,House,61,77,366,False,8
15097577,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,5,9,9,9,0.1075105552814668,False,83,244,15097577,False,False,True,False,False,False,False,False,37.75464509039359,8,-122.49283382089736,1,1,1,1,15,39.0,True,House,12,83,36,False,8
2126868,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,5,10,9,10,0.09245514577581893,False,92,542,2126868,False,False,True,False,False,False,False,False,37.7341249178109,9,-122.46247478686081,3,1,1,1,19,40.0,True,House,85,92,802,False,9
16348162,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,3,,,,0.10049373308901126,False,,0,16348162,False,False,True,False,False,False,False,False,37.763136958455924,,-122.48853709406588,1.5,1,1,1,7,40.0,True,House,0,,11,False,
14268636,10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,4,10,10,10,0.08209268046690386,False,99,74,14268636,False,False,True,False,True,False,False,False,37.72390475543678,9,-122.43338523365239,1.5,1,2,2,19,39.0,True,House,17,99,103,False,10
8408841,,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,3,,,,0.014571072583949045,False,,0,8408841,False,False,False,True,False,False,False,False,37.791788275929605,,-122.4074964196619,0.5,1,1,1,17,22.0,True,Other,0,,42,False,
12203625,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,5,,,,0.07032700260611796,False,,64,12203625,True,False,True,False,False,False,False,False,37.78400927869128,,-122.46280043577612,1.5,1,1,1,12,39.0,True,House,0,,10,False,
6387137,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5,9,8,10,0.060345952973392014,False,75,91,6387137,False,False,True,False,False,False,False,False,37.735392074819075,7,-122.38971479644532,1,1,1,2,4,39.0,True,House,63,75,367,False,8
13467547,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,4,,,,0.12157043088640977,False,,0,13467547,False,True,False,False,False,False,False,False,37.71598912581354,,-122.4852965840525,1,1,1,1,6,22.0,True,Apartment,0,,38,False,
16857004,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,True,False,3,,,,0.046898158110059776,False,,0,16857004,False,True,False,False,False,False,False,False,37.75320293725725,,-122.41343838776606,3,0,1,1,5,40.0,True,Apartment,0,,0,False,
8408931,,False,False,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,3,,,,0.012871695401904384,False,,0,8408931,False,False,False,True,False,False,False,False,37.79167108844119,,-122.4056890178592,0.5,1,1,1,13,19.0,True,Other,0,,70,False,
9033827,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,3,9,8,10,0.07175111428603223,False,87,0,9033827,True,False,True,False,False,False,False,False,37.72458935348938,10,-122.40356043590067,1.5,1,1,1,17,40.0,True,House,3,87,106,False,9
4932734,,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,3,,,,0.11285979757262413,False,,0,4932734,False,True,False,False,False,False,False,False,37.71592252195967,,-122.47334624440423,0.5,1,1,1,18,40.0,True,Apartment,1,,39,False,
11611392,,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,3,,,,0.11047132066663916,False,,0,11611392,False,False,True,False,False,False,False,False,37.71272661689486,,-122.46646024593512,1,1,1,1,1,34.0,True,House,0,,14,False,
12551557,8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,4,10,7,10,0.10972700419506039,False,80,28,12551557,False,False,True,False,False,False,False,False,37.70812264689833,7,-122.45964854354703,1,1,1,2,6,39.0,True,House,10,80,122,False,8
16125356,10,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,3,10,9,10,0.13920539794797623,False,100,3,16125356,False,True,False,False,False,False,False,False,37.8177944370825,9,-122.2560105815577,1,1,1,1,16,35.0,True,Apartment,3,100,22,False,10
